t,ωfl,ωfr,ωrl,ωrr
28.8,3.296987151518071,3.6406721170654617,3.6406721170653955,3.2969871515180884
28.9,3.3550575480240186,3.7123279326089493,3.712327932609012,3.3550575480239804
29.0,3.4108594728173993,3.7892760672450474,3.789276067245045,3.410859472817421
29.1,3.4638840401935647,3.872671957085128,3.8726719570851427,3.4638840401934807
29.2,3.5135879056969554,3.963798152661109,3.963798152661195,3.513587905696934
29.3,3.5597919527707864,4.000000036882906,4.000000036882906,3.559791952770775
29.4,3.6026422785455114,4.000000038850712,4.000000038850712,3.6026422785454852
29.5,3.642282009827626,4.000000039315575,4.000000039315575,3.642282009827619
29.6,3.6788835991726625,4.000000039521007,4.000000039521007,3.6788835991726314
29.7,3.7127483754804094,4.000000039635484,4.000000039635484,3.7127483754803396
29.8,3.744306680517545,4.000000039707673,4.000000039707673,3.7443066805175635
29.9,3.7741196943618083,4.0000000397568325,4.0000000397568325,3.774119694361781
30.0,3.8028835257624376,4.000000039792095,4.000000039792095,3.8028835257623452
30.1,3.8314358303564773,4.00000003981834,4.00000003981834,3.8314358303565137
30.2,3.860765176539184,4.000000039838402,4.000000039838402,3.8607651765392106
30.3,3.892023087248699,4.0000000398540365,4.0000000398540365,3.8920230872491857
30.4,3.9265380648567523,4.0000000398663795,4.0000000398663795,3.926538064856707
30.5,3.965829459949918,4.000000039876194,4.000000039876194,3.9658294599503763
30.6,4.000000022157632,4.000000039884002,4.000000039884002,4.000000022157632
30.7,4.000000036933758,4.000000039890172,4.000000039890172,4.000000036933758
30.8,4.000000038438877,4.000000039894975,4.000000039894975,4.000000038438877
30.9,4.000000039001915,4.000000039898617,4.000000039898617,4.000000039001915
31.0,4.000000039292121,4.000000039901238,4.000000039901238,4.000000039292121
31.1,4.000000039466681,4.000000039902928,4.000000039902928,4.000000039466681
31.2,4.00000003958176,4.000000039903739,4.000000039903739,4.00000003958176
31.3,4.000000039662387,4.000000039903683,4.000000039903683,4.000000039662387
31.4,4.000000039721381,4.000000039902737,4.000000039902737,4.000000039721381
31.5,4.000000039765974,4.0000000399008355,4.0000000399008355,4.000000039765974
